date,cases
5/27/2016,31
5/28/2016,18
5/29/2016,14
5/30/2016,45
5/31/2016,48
6/1/2016,24
6/2/2016,37
6/3/2016,31
6/4/2016,21
6/5/2016,15
6/6/2016,31
6/7/2016,28
6/8/2016,33
6/9/2016,20
6/10/2016,18
6/11/2016,15
6/12/2016,18
6/13/2016,36
6/14/2016,40
6/15/2016,16
6/16/2016,35
6/17/2016,27
6/18/2016,21
6/19/2016,16
6/20/2016,49
6/21/2016,35
6/22/2016,32
6/23/2016,35
6/24/2016,22
6/25/2016,26
6/26/2016,18
6/27/2016,44
6/28/2016,35
6/29/2016,37
6/30/2016,28
7/1/2016,37
7/2/2016,35
7/3/2016,12
7/4/2016,48
7/5/2016,50
7/6/2016,17
7/7/2016,56
7/8/2016,38
7/9/2016,26
7/10/2016,15
7/11/2016,39
7/12/2016,43
7/13/2016,27
7/14/2016,32
7/15/2016,46
7/16/2016,21
7/17/2016,16
7/18/2016,49
7/19/2016,46
7/20/2016,41
7/21/2016,54
7/22/2016,41
7/23/2016,19
7/24/2016,16
7/25/2016,56
7/26/2016,32
7/27/2016,40
7/28/2016,23
7/29/2016,36
7/30/2016,20
7/31/2016,18
8/1/2016,41
8/2/2016,33
8/3/2016,33
8/4/2016,34
8/5/2016,28
8/6/2016,25
8/7/2016,20
8/8/2016,40
8/9/2016,14
8/10/2016,32
8/11/2016,31
8/12/2016,37
8/13/2016,24
8/14/2016,21
8/15/2016,38
8/16/2016,38
8/17/2016,38
8/18/2016,29
8/19/2016,38
8/20/2016,20
8/21/2016,21
8/22/2016,50
8/23/2016,58
8/24/2016,41
8/25/2016,40
8/26/2016,36
8/27/2016,28
8/28/2016,28
8/29/2016,65
8/30/2016,38
8/31/2016,41
9/1/2016,52
9/2/2016,53
9/3/2016,34
9/4/2016,21
9/5/2016,49
9/6/2016,44
9/7/2016,30
9/8/2016,39
9/9/2016,30
9/10/2016,28
9/11/2016,15
9/12/2016,19
9/13/2016,32
9/14/2016,38
9/15/2016,27
9/16/2016,28
9/17/2016,16
9/18/2016,16
9/19/2016,31
9/20/2016,27
9/21/2016,22
9/22/2016,29
9/23/2016,24
9/24/2016,26
9/25/2016,12
9/26/2016,23
9/27/2016,18
9/28/2016,32
9/29/2016,15
9/30/2016,19
10/1/2016,19
10/2/2016,12
10/3/2016,16
10/4/2016,24
10/5/2016,22
10/6/2016,22
10/7/2016,19
10/8/2016,10
10/9/2016,7
10/10/2016,16
10/11/2016,10
10/12/2016,12
10/13/2016,26
10/14/2016,15
10/15/2016,9
10/16/2016,18
10/17/2016,20
10/18/2016,16
10/19/2016,16
10/20/2016,14
10/21/2016,22
10/22/2016,5
10/23/2016,9
10/24/2016,11
10/25/2016,14
10/26/2016,15
10/27/2016,11
10/28/2016,19
10/29/2016,5
10/30/2016,8
